description,amount
2015-04,1450
2015-05,1450
2015-06,1450
2015-07,1450
2015-08,2500
2015-09,2500
2015-10,2500
2015-11,2500
2015-12,2500
2016-01,2500
2016-02,2500
2016-03,2500
2016-04,2500
2016-05,2500
2016-06,2500
2016-07,2500
2016-08,2500
2016-09,2500
2016-10,2500
2016-11,2500
2016-12,2500
2017-01,2500
2017-02,2500
2017-03,2500
2017-04,2500
2017-05,2500
2017-06,2500
2017-07,2500
2017-08,2500
2017-09,2500
2017-10,2500
2017-11,2500
2017-12,2500
2018-01,2500
2018-02,2500
2018-03,2500
2018-04,2500
2018-05,2500
2018-06,2500
2018-07,2500
2018-08,2500
2018-09,2500
2018-10,2500
2018-11,2500
2018-12,2500
2019-01,2500
2019-02,2500
2019-03,2500
2019-04,2500
2019-05,2500
2019-06,2500
2019-07,2500
2019-08,2500
2019-09,2500
2019-10,2500
2019-11,2500
2019-12,2500
2020-01,2500
2020-02,2500
2020-03,2500
2020-04,2500
2020-05,2500
2020-06,2500
2020-07,2500
2020-08,2500
2020-09,2500
2020-10,2500
2020-11,2500
2020-12,2500
2021-01,2500
2021-02,2500
2021-03,2500
2021-04,2500
2021-05,2500
2021-06,2500
2021-07,2500
2021-08,2500
2021-09,2500
2021-10,2500
2021-11,2500
2021-12,2500
2022-01,2500
2022-02,2500
2022-03,2000
2022-04,2000
2022-05,2000
2022-06,2000
2022-07,2000
2022-08,2000
2022-09,2000
2022-10,2000
2022-11,2000
2022-12,2000
2023-01,2000
2023-02,2000
2023-03,2000
2023-04,2000
2023-05,2000
2023-06,2000
2023-07,2000
2023-08,2000
2023-09,2000
2023-10,2000
2023-11,2000
2023-12,2000
2024-01,2000
2024-02,2000
2024-03,2000
2024-04,2000
2024-05,2000
2024-06,2000
2024-07,2000
2024-08,2000
2024-09,2500
2024-10,2500
2024-11,2500
2024-12,2500
2025-01,2500
2025-02,2500
2025-03,2500
2025-04,2500
2025-05,2500
2025-06,2500
2025-07,2500
2025-08,2500
2025-09,2500
2025-10,2500
2025-11,2500
2025-12,2500
2026-01,2500
