Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2015-04-02T01:00:23+00:00,101,Expense,Mantenimiento,-1450.00000000,MXN,2015-04,,"Cerrada Amores"
2015-04-02T01:11:34+00:00,101,Income,Mantenimiento,1450.00000000,MXN,2015-04,,"Cerrada Amores"
2015-05-02T00:00:24+00:00,101,Expense,Mantenimiento,-1450.00000000,MXN,2015-05,,"Cerrada Amores"
2015-05-02T00:11:35+00:00,101,Income,Mantenimiento,1450.00000000,MXN,2015-05,,"Cerrada Amores"
2015-06-02T00:00:24+00:00,101,Expense,Mantenimiento,-1450.00000000,MXN,2015-06,,"Cerrada Amores"
2015-06-02T00:11:36+00:00,101,Income,Mantenimiento,1450.00000000,MXN,2015-06,,"Cerrada Amores"
2015-07-02T00:00:24+00:00,101,Expense,Mantenimiento,-1450.00000000,MXN,2015-07,,"Cerrada Amores"
2015-07-02T00:11:36+00:00,101,Income,Mantenimiento,1450.00000000,MXN,2015-07,,"Cerrada Amores"
2015-08-02T00:00:25+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2015-08,,"Cerrada Amores"
2015-08-02T00:11:37+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2015-08,,"Cerrada Amores"
2015-09-02T00:00:25+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2015-09,,"Cerrada Amores"
2015-09-29T00:04:50+00:00,101,Income,Mantenimiento,400.00000000,MXN,2015-09,,"Cerrada Amores"
2015-10-02T00:00:25+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2015-10,,"Cerrada Amores"
2015-11-02T01:00:25+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2015-11,,"Cerrada Amores"
2015-11-02T01:04:50+00:00,101,Income,Mantenimiento,1000.00000000,MXN,2015-10,,"Cerrada Amores"
2015-12-02T01:00:26+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2015-12,,"Cerrada Amores"
2015-12-10T01:11:37+00:00,101,Income,Mantenimiento,2000.00000000,MXN,2015-12,,"Cerrada Amores"
2016-01-02T01:00:26+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-01,,"Cerrada Amores"
2016-01-10T01:11:37+00:00,101,Income,Mantenimiento,1400.00000000,MXN,2016-01,,"Cerrada Amores"
2016-02-02T01:00:26+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-02,,"Cerrada Amores"
2016-02-10T01:04:53+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2016-02,,"Cerrada Amores"
2016-03-02T01:00:27+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-03,,"Cerrada Amores"
2016-03-10T01:04:55+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2016-03,,"Cerrada Amores"
2016-04-02T01:00:27+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-04,,"Cerrada Amores"
2016-04-22T00:04:56+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2016-04,,"Cerrada Amores"
2016-05-02T00:00:27+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-05,,"Cerrada Amores"
2016-05-19T00:04:56+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2016-05,,"Cerrada Amores"
2016-06-02T00:00:28+00:00,101,Expense,Mantenimiento,-2500.00000000,MXN,2016-06,,"Cerrada Amores"
2016-06-10T00:11:38+00:00,101,Income,Mantenimiento,2500.00000000,MXN,2016-06,,"Cerrada Amores"
