Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2024-03-01T18:54:31+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-03-01T19:09:51+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-03-01T19:46:46+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:10:48+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:12:28+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:14:16+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:14:39+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:15:01+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:15:22+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:15:39+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T01:15:49+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-03,,"Cerrada Amores"
2024-03-02T05:05:52+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-03-11T18:52:51+00:00,Operación,Expense,Seguridad,-19500.00000000,MXN,SESPATE,,"Cerrada Amores"
2024-03-13T04:23:55+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-12,,"Cerrada Amores"
2024-03-13T04:24:01+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-01,,"Cerrada Amores"
2024-03-13T04:24:07+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-02,,"Cerrada Amores"
2024-03-20T04:13:06+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-06,,"Cerrada Amores"
2024-03-20T04:13:16+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-05,,"Cerrada Amores"
2024-03-20T04:13:25+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-04,,"Cerrada Amores"
2024-03-20T04:13:31+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-03,,"Cerrada Amores"
2024-03-20T04:13:37+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-02,,"Cerrada Amores"
2024-03-20T04:13:44+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-01,,"Cerrada Amores"
2024-04-01T18:54:44+00:00,Operación,Expense,Seguridad,-19500.00000000,MXN,SESPATE,,"Cerrada Amores"
2024-04-01T23:11:55+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
2024-04-02T01:11:55+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
