Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2024-03-01T06:43:50+00:00,Proyectos,Expense,Proyectos,-600.00000000,MXN,Spendee,,"Cerrada Amores"
2024-03-01T06:44:10+00:00,Proyectos,Income,Donacion,600.00000000,MXN,Spendee,401,"Cerrada Amores"
2024-03-10T22:19:31+00:00,Proyectos,"Incoming Transfer",,1000.00000000,MXN,,,"Cerrada Amores"
2024-03-12T22:20:39+00:00,Proyectos,"Incoming Transfer",,1000.00000000,MXN,,,"Cerrada Amores"
2024-05-18T19:43:06+00:00,Proyectos,"Incoming Transfer",,4000.00000000,MXN,"Proyectos Mayo - Diciembre 2024 + Diferencial de Mtto 2,500 de Septiembre a Diciembre",,"Cerrada Amores"
2024-06-22T14:37:38+00:00,Proyectos,Expense,Proyectos,-193.00000000,MXN,"Reparación de transformador Herralum",,"Cerrada Amores"
2024-06-25T14:38:55+00:00,Proyectos,Expense,Proyectos,-2300.00000000,MXN,"Mano de obra de Pablo",,"Cerrada Amores"
2024-06-26T02:09:54+00:00,Proyectos,Expense,Proyectos,-200.00000000,MXN,"20mts de cable calibre 18",,"Cerrada Amores"
2024-06-26T02:10:29+00:00,Proyectos,Expense,Proyectos,-585.99000000,MXN,"Material Home Depot",,"Cerrada Amores"
2024-06-26T02:14:29+00:00,Proyectos,Expense,Proyectos,-72.00000000,MXN,"Sapo para WC",,"Cerrada Amores"
2024-06-26T02:15:21+00:00,Proyectos,Expense,Proyectos,-9.00000000,MXN,"Codo PVC",,"Cerrada Amores"
2024-06-26T02:15:33+00:00,Proyectos,Expense,Proyectos,-348.00000000,MXN,Material,,"Cerrada Amores"
2024-06-26T02:33:27+00:00,Proyectos,Expense,Proyectos,-74.50000000,MXN,Material,,"Cerrada Amores"
2024-06-26T02:50:27+00:00,Proyectos,"Incoming Transfer",,5000.00000000,MXN,Proyectos,,"Cerrada Amores"
2024-07-15T22:28:28+00:00,Proyectos,Income,Donacion,25000.00000000,MXN,"Jorge - Seguridad",202,"Cerrada Amores"
2024-08-02T04:37:24+00:00,Proyectos,Income,Gestión,500.00000000,MXN,"Gestion de lugar de estacionamiento 602",602,"Cerrada Amores"
2024-08-02T04:38:53+00:00,Proyectos,Income,Estacionamiento,6000.00000000,MXN,"2024-08,2024-09,2024-10",202,"Cerrada Amores"
2024-08-29T06:00:53+00:00,Proyectos,Income,Donacion,23000.00000000,MXN,"Donacion Jorge",202,"Cerrada Amores"
2024-09-04T18:41:45+00:00,Proyectos,Expense,Mantenimiento,-11399.00000000,MXN,"Botes de basura",,"Cerrada Amores"
2024-09-05T05:04:02+00:00,Proyectos,Income,Donacion,11399.00000000,MXN,"Botes de basura",401,"Cerrada Amores"
2024-11-07T16:12:28+00:00,Proyectos,Income,Gestión,1500.00000000,MXN,"Estacionamiento Sept, Oct, Nov",602,"Cerrada Amores"
2024-11-08T05:08:37+00:00,Proyectos,Expense,Proyectos,-699.00000000,MXN,"Rack de bicicletas",,"Cerrada Amores"
2024-11-08T05:09:03+00:00,Proyectos,Income,Donacion,699.00000000,MXN,"Rack de bicicletas",401,"Cerrada Amores"
2024-11-08T17:06:57+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-12,,"Cerrada Amores"
2024-11-08T17:07:20+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-11,,"Cerrada Amores"
2024-11-08T17:07:26+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-10,,"Cerrada Amores"
2024-11-08T17:07:33+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-09,,"Cerrada Amores"
2024-11-08T17:07:39+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-08,,"Cerrada Amores"
2024-11-08T17:07:47+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-07,,"Cerrada Amores"
2024-11-08T17:07:53+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-06,,"Cerrada Amores"
2024-11-08T17:07:59+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-05,,"Cerrada Amores"
2024-11-08T17:08:05+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-04,,"Cerrada Amores"
2024-11-08T17:08:49+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-03,,"Cerrada Amores"
2024-11-08T17:08:57+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-02,,"Cerrada Amores"
2024-11-08T17:09:21+00:00,Proyectos,"Incoming Transfer",,2000.00000000,MXN,2023-01,,"Cerrada Amores"
2024-12-03T06:34:59+00:00,Proyectos,Expense,Proyectos,-16140.00000000,MXN,CCTV,,"Cerrada Amores"
2024-12-13T06:01:31+00:00,Proyectos,"Outgoing Transfer",,-22500.00000000,MXN,"Transferencia de proyectos a 2025 Jorge",,"Cerrada Amores"
2024-12-13T06:01:54+00:00,Proyectos,"Outgoing Transfer",,-500.00000000,MXN,"Reembolso Donación de Jorge",,"Cerrada Amores"
2025-01-09T00:10:33+00:00,Proyectos,Income,Gestión,120.00000000,MXN,"Estacionamiento Bici ",401,"Cerrada Amores"
2025-01-12T16:10:35+00:00,Proyectos,Income,Gestión,240.00000000,MXN,"Bici Elsa","101,402","Cerrada Amores"
2025-01-12T16:10:51+00:00,Proyectos,Income,Gestión,260.00000000,MXN,"Elsa Dinero Nuevo Rack",,"Cerrada Amores"
2025-01-13T20:27:37+00:00,Proyectos,Income,Gestión,120.00000000,MXN,"Estacionamiento bici",501,"Cerrada Amores"
2025-01-13T20:27:57+00:00,Proyectos,Income,Gestión,500.00000000,MXN,"Estacionamiento moto Enero x2",501,"Cerrada Amores"
2025-02-03T21:13:31+00:00,Proyectos,Expense,Servicios,-100.00000000,MXN,"Retiro de escombro",,"Cerrada Amores"
2025-02-13T16:12:33+00:00,Proyectos,Income,Estacionamiento,500.00000000,MXN,Motos,501,"Cerrada Amores"
2025-02-13T16:12:44+00:00,Proyectos,Income,Estacionamiento,120.00000000,MXN,Bicicleta,202,"Cerrada Amores"
2025-02-13T16:12:55+00:00,Proyectos,Income,Donacion,880.00000000,MXN,,202,"Cerrada Amores"
2025-03-07T01:16:55+00:00,Proyectos,Expense,Proyectos,-1500.00000000,MXN,"Día de Pablo",,"Cerrada Amores"
2025-03-07T01:18:03+00:00,Proyectos,Expense,Proyectos,-756.01000000,MXN,"Centro de carga y fusibles",,"Cerrada Amores"
2025-03-08T18:01:45+00:00,Proyectos,Expense,Proyectos,-899.00000000,MXN,"Transformador Herralum",,"Cerrada Amores"
2025-03-08T18:03:44+00:00,Proyectos,Expense,Proyectos,-300.00000000,MXN,Electroiman,,"Cerrada Amores"
2025-05-09T17:58:25+00:00,Proyectos,Expense,Proyectos,-24027.14000000,MXN,"Fester Impermeabilizante",,"Cerrada Amores"
2025-05-09T18:31:45+00:00,Proyectos,Expense,Proyectos,-19080.00000000,MXN,"Impermeabilizacion Acrilico Mano de Obra",,"Cerrada Amores"
2025-05-09T18:31:54+00:00,Proyectos,Expense,Proyectos,-4500.00000000,MXN,"Retiro de jaulas",,"Cerrada Amores"
2025-05-12T16:06:03+00:00,Proyectos,Expense,Proyectos,-82.00000000,MXN,"IPESA - Costales, Cemento y Arena",,"Cerrada Amores"
2025-05-17T15:21:52+00:00,Proyectos,Expense,Proyectos,-24.00000000,MXN,Costales,,"Cerrada Amores"
2025-05-17T15:22:13+00:00,Proyectos,Expense,Proyectos,-203.00000000,MXN,"Costales, Adecan, Disco",,"Cerrada Amores"
2025-05-17T15:22:42+00:00,Proyectos,Expense,Proyectos,-75.00000000,MXN,"Arena y Cemento Gris",,"Cerrada Amores"
2025-05-17T15:23:05+00:00,Proyectos,Expense,Proyectos,-347.00000000,MXN,"Cepillo, Tapagrietas, Brochas",,"Cerrada Amores"
2025-05-17T16:02:09+00:00,Proyectos,Expense,Proyectos,-647.69000000,MXN,"Impermebilizante 4L",,"Cerrada Amores"
2025-07-20T06:18:56+00:00,Proyectos,Expense,Proyectos,-19500.00000000,MXN,"Remodelación del baño azotea",601,"Cerrada Amores"
2025-07-20T06:19:14+00:00,Proyectos,Expense,Proyectos,-16500.00000000,MXN,"Pintura de la reja del zaguan",601,"Cerrada Amores"
2025-07-20T19:31:22+00:00,Proyectos,Income,Donacion,16500.00000000,MXN,Reja,601,"Cerrada Amores"
2025-07-20T19:31:42+00:00,Proyectos,Income,Donacion,19500.00000000,MXN,"Cuarto. ",601,"Cerrada Amores"
